PRODUCT_ID,PRODUCT_GENDER,PRODUCT_WIDTH,PRODUCT_ID_NARROW,PRODUCT_ID_STANDARD,PRODUCT_ID_WIDE,PRODUCT_ID_EXTRAWIDE
ANA_1011B185-021,Male,Standard,,ANA_1011B185-001,ANA_1011B186-021,ANA_1011B184-002
ANA_1011B185-100,Male,Standard,,ANA_1011B185-100,ANA_1011B186-021,ANA_1011B184-002
ANA_1011B185-100,Male,Standard,,ANA_1011B185-001,ANA_1011B186-021,ANA_1011B184-002
ANA_1011B185-400,Male,Standard,,ANA_1011B185-400,ANA_1011B186-021,ANA_1011B184-002
ANA_1011B185-400,Male,Standard,,ANA_1011B185-001,ANA_1011B186-021,ANA_1011B184-002
ANA_1011B185-402,Male,Standard,,ANA_1011B185-402,ANA_1011B186-402,ANA_1011B184-002
ANA_1011B185-402,Male,Standard,,ANA_1011B185-001,ANA_1011B186-021,ANA_1011B184-002
ANA_1011B185-404,Male,Standard,,ANA_1011B185-404,ANA_1011B186-021,ANA_1011B184-002
ANA_1011B185-404,Male,Standard,,ANA_1011B185-001,ANA_1011B186-021,ANA_1011B184-002
ANA_1011B185-405,Male,Standard,,ANA_1011B185-405,ANA_1011B186-405,ANA_1011B184-002
ANA_1011B185-405,Male,Standard,,ANA_1011B185-001,ANA_1011B186-021,ANA_1011B184-002
ANA_1011B185-406,Male,Standard,,ANA_1011B185-406,ANA_1011B186-021,ANA_1011B184-002
ANA_1011B185-751,Male,Standard,,ANA_1011B185-751,ANA_1011B186-021,ANA_1011B184-002
ANA_1011B186-002,Male,Wide,,ANA_1011B185-002,ANA_1011B186-002,ANA_1011B184-002
ANA_1011B186-021,Male,Wide,,ANA_1011B185-021,ANA_1011B186-021,ANA_1011B184-002
ANA_1011B186-021,Male,Wide,,ANA_1011B185-001,ANA_1011B186-021,ANA_1011B184-002
ANA_1011B186-405,Male,Wide,,ANA_1011B185-405,ANA_1011B186-405,ANA_1011B184-002
ANA_1011B186-405,Male,Wide,,ANA_1011B185-001,ANA_1011B186-021,ANA_1011B184-002
ANA_1011B188-001,Male,Wide,,ANA_1011B189-001,ANA_1011B188-001,ANA_1011B191-001
ANA_1011B188-001,Male,Wide,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B188-002,Male,Wide,,ANA_1011B189-002,ANA_1011B188-002,ANA_1011B191-002
ANA_1011B188-002,Male,Wide,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B188-003,Male,Wide,,ANA_1011B189-003,ANA_1011B188-003,ANA_1011B191-003
ANA_1011B188-003,Male,Wide,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B188-004,Male,Wide,,ANA_1011B189-004,ANA_1011B188-004,ANA_1011B191-021
ANA_1011B188-004,Male,Wide,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B188-021,Male,Wide,,ANA_1011B189-021,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B188-021,Male,Wide,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B188-402,Male,Wide,,ANA_1011B189-402,ANA_1011B188-402,ANA_1011B191-021
ANA_1011B188-402,Male,Wide,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B189-001,Male,Standard,,ANA_1011B189-001,ANA_1011B188-001,ANA_1011B191-001
ANA_1011B189-001,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
